Compra de Energía	Costo Distribución	Comerciali- zación	Costo Unitario
350.06 350.06	279.57 206.74 66.28 66.28	171.47 171.47	927.03 854.20
350.06	163.81 28.31	176.93	778.76
350.06	97.60 24.22	134.81	666.34
350.06	33.97 14.02	118.11	575.81
350.36	253.04 95.80	190.00	948.85
350.36 350.36	200.88 148.71 95.80 95.80	190.00 190.00	896.69 844.52
350.36	129.97 95.80	190.00	825.78
350.36	161.69 41.05	100.73	713.48
350.36	114.02 30.25	100.73	655.01
350.36	33.97 16.85	100.73	561.56
349.41	279.57 65.56	26.74	780.93
349.41 349.41	258.03 236.50 65.56 65.56	26.74 26.74	759.39 737.86
349.41	163.81 28.14	26.74	627.75
349.41	97.60 25.64	26.74	559.04
349.41	33.97 13.72	26.74	483.49
